business_id,date,review_id,stars,text,type,user_id,cool,useful,funny,text_length,word_count
m9i6aX4nmuTwqO5PjeLNZg,2012-10-02,eVkl8le195A8e1As21bWJg,5,Dr. Jones was very friendly and understanding!,review,oSqsvEHLxowiQiWNqsd7zA,0,0,0,46,7
tcxNX3YiHNbaobEpPFyOtA,2012-05-16,mkaQ7Y6djFDT5WN2g4bLdQ,4,Great fried fish and crispy onion rings....yum!,review,01nTwhHBaw8AHjQDb7JGBw,1,1,0,47,7
DcrM4hwDcU2G6vuh2cnaYQ,2012-04-05,rfU80jENO-izDExO_eBfaw,5,Have eaten here several times.  Always amazing.,review,Ch6CdTR2IVaVANr-RglMOg,0,1,0,47,7
QCxXYA13PtkD3wec47_r8Q,2011-10-14,8utC26Ibsuna98Czj0xx6A,4,Great atmosphere! Awesome drink specials :),review,dv8X5uglDB_foGqju_lJDg,0,0,0,43,6
AIaEFC65T7BKVl03INm1eg,2010-12-20,747-H8tvuxXOEMMviYBXiA,5,Great Job!,review,wtn-JNypbM7IupJm9t40Hw,0,0,0,10,2
qjmCVYkwP-HDa35jwYucbQ,2012-09-26,QUBQ1Lfhk8p5PeCrK6tBnA,4,"Kale, miso, shrimp dumplings... all good",review,RTjqsz0-YZzBNfe5xkxtjA,0,0,0,40,6
-h-q6zTIdPlkz9BDP11sBg,2011-02-24,Ag8qFw1LbvmAu_wv6ElSaw,4,Great flatbreads and atmosphere,review,5oPwG66useXJo9opoFokgQ,0,0,0,31,4
BW-64ad2ikPu8M48nV69wQ,2011-05-08,HhhdKGytEu5mXlM03xM1pg,5,This place is great!,review,0SH_57eHXYWuGztkRxC9Vw,0,0,0,20,4
JoqrcQuzD3yEvs9KvN82ag,2012-09-08,2k57IbygwTWDvu4R1husvA,1,"food is ok, but service is very slow!",review,pQ6ij6cOBRB3yJGHbVZHUQ,0,0,0,37,8
X7FAAKkwOwaUUpR8QPChyw,2009-03-29,Orcxno3LxwHIZ1l5izWXhA,4,"Great place, great food, great environment .",review,1kDUQZY0FQ6qyCSTR3hGpg,1,1,0,44,7
