business_id,date,review_id,stars,text,type,user_id,cool,useful,funny,text_length,word_count
h-EkPjwF47mDPgrTGXLoIQ,2007-05-28,LLf9pyyGrDpZrtyWwYUNkw,3,"I like to call this ""My Basha's"".    On the positive side, the selection of wine and beers is pretty extensive, the produce is fresh with quite a few organic choices.  The natural foods section has a number of pleasant surprises and they've added some new bulk dispensers there as well.  I've had mixed experiences getting help in the meat section but the checkout up front is always quick, much faster than some of the other grocery store chains out there.",review,n1h87EmG_HBlp33v3X_QuA,1,0,1,457,80
TJ_wLPY8iScgJc641aQHxw,2012-02-02,o5WnqGiPo97Qf00eLGmU2Q,1,"This place was the worst place to EVER live! I lived here from Aug 2010 to may 2011, i was always in the office see when the grates would be fixed?? the office always gave me the run around very rude. You would think after the gun shoots, assaults, and car break ins that they would fix the gates but nope and to this day they still aren't fixed. When we moved in they said they would be fixed in a week and they lied.  Also the gym is huge but NONE of the equipment works! living here was SO gross! nothing worked our neighbors are Mexican thugs doing drug cat calling at anything that walks it was gross. I hated living here! 

 But the worst part was a few weeks ago we get a call from collections saying we owe Scottsdale Springs $300 bucks over 10 months after moving out! I called them up like wtf, and they were SO rude said too bad pay it or your credit score will hurt, we even gave a fowarding address and we NEVER got a letter in the mail about any damages. They claim we never gave them a forwarding address which is bull. 

I really hope people read these reviews i would hate to see anyone else scammed by this god awful company!",review,gIhEoQQLLUHbKbn2_TS1hg,1,1,1,1143,223
2MM1zXQotfBkW4YRMPY-ZA,2010-04-25,X8sOlD8trk6LeOCIJcMwgw,1,"I dont understand how a second restaurant was opened on Tatum . My husband and gave these place too many chances and wach time the food was not impressive. The margaritas come from a stolen recipe from La Pinata Nueva , but too bad they didnt bring the recipes with them. I hope they get it "" that maybe if you put alittle quality in the food people will come back"".",review,u1fxUYcCZsiazNmczJh0hQ,0,1,0,366,71
Trar_9cFAj6wXiXfKfEqZA,2012-06-18,Rzorh-nPKORglooFK3i4ig,4,"Awesome Donuts! 

The only thing is, I was expecting the light fluffy glazed that Krispy Kreme has. This is not the same. HOWEVER these donuts are homemade delicious and why not support small businesses?!?! 

So why the 4/5 star instead of 5/5? Well the majority of our group LOVED the donuts and swears by them. HOWEVER, one or two just thought they were alright and preferred a light airy donut a la Krispy Kreme (lameeee). So thats why I am trying to represent all opinions here in my reviews.

We were headed there when they were closing the dining room apparently (the drive thru is 24 hours though), but the nice lady allowed us to come inside, we had a rather large group with us. 

THE BUTTERMILK donut is amazing!! TOTALLY worth the late night trip!!!

These donuts taste fresh, delicious, and the customer service was so great when we were there that night. This place is the best donut place I have been to in AZ. No more KKreme or DDonuts (that place is not that good anyway). Just go to Bosa and you will never go to a chain donut shop again.",review,7jWmd57QoJnq2q4QyvVS2Q,0,0,0,1055,194
vN4mFODLd-gLmDg261wsyw,2011-09-05,-8a9TktdvoC01Xm69S6Q7w,4,Our visit to Scottsdale brought us into Fountain Hills to look for a home. While we were there we decided to look at the beautiful fountain we heard so much about. That's when we happened upon this place. The pizza was fantastic!!! It made us want to move here even more. Delicious!,review,cZgbUqTxXV0-EIzRZEKlQg,0,0,0,282,52
ufKmcpK6OTaWzeBGWNOa8A,2012-02-22,rql2bB8VdgjNh5kejRytvA,3,"My niece want to go here for her birthday, on a Friday night.  The wait was about 30 min.  

The onion blossom was not as crispy as I remember but still pretty good. Its horseradish sauce was stronger than I expected.  I had to ask for a side of ketchup.  

My steak was cooked as ordered (medium rare) but lacked taste somehow; the lobster tail was grilled right.  The steak of my niece was on the dry side (overcooked). My daughter's steak was as she liked it (medium rare).

For dessert, we shared a gigantic scoop of ice cream and whipped cream and an Oreo waffle with more ice cream and whipped cream.  We couldn't finish.

The service was good. Our waitress was very friendly.",review,mu2h8COMhAdnoQQ42TUTSg,0,0,0,682,125
09Kv1q51BlUyLznzNnL5Xw,2010-05-22,xrUOY2XtJZK7PA3dDUBdig,2,"Possibly the creepiest convenience store I have ever been to.  I mean, it's sandwiched between a strip mall and a giant dirt lot.",review,iKi-FUw5x7A220fVvEcNuw,0,0,2,129,23
R3sbDS0YcJDedSmUjwE48Q,2012-12-29,olF_c_Lv-MCdFrfb6ixILw,5,Tried going there for my 1st visit and they were closed during hours they were supposed to be open.  Have tried calling them a few times during normal business hours and did not get anyone to pickup.  They may be closed for good.  Not sure.,review,g45j6zxyjTmEy6nhf42o0g,0,0,1,240,45
rE2InW2Jmjy6hzH3p4Iyjw,2012-01-13,HhRPCCeoUBH9_KQt-oGODg,5,"I just stopped at Biagio nail place today and got my mani and pedi done, it was fabulous. Tiffany gave me great feet and my neck massage. She does really job. The shellac manicure was really nice she gave me a lots of different colors so she actually helped me find the colors that i like and I was very happy that I got her. I will Go back and ask for her...",review,XiuLpXucDuwabVkyhqAb3w,0,0,0,359,73
17AQhJKGRA3YLeN0pB64cg,2012-05-25,PPKxod62hSbSuwm6XJv1vg,2,"Love the coffee not thrilled about my service. Of the 4-3 times I have been in the barista has never been behind the counter ready to serve me.  Every time that I have walked in they follow me off the patio where they have been smoking.  I know that you are entitled to a break but, sitting out chit chatting with your friends smoking is not what you get paid for.  Either I have bad timing coming in when they are on break or the kids there are huge slackers.",review,LZAE5d9vjQgRlQhBbVFWUA,0,1,0,460,90
